record_number,federal_provider_number,provider_name,provider_address,provider_city,provider_state,provider_zip_code,provider_phone_number,provider_ssa_county_code,provider_county_name,ownership_type,number_of_certified_beds,average_number_of_residents_per_day,average_number_of_residents_per_day_footnote,provider_type,provider_resides_in_hospital,legal_business_name,date_first_approved_to_provide_medicare_and_medicaid_services,continuing_care_retirement_community,special_focus_status,abuse_icon,most_recent_health_inspection_more_than_2_years_ago,provider_changed_ownership_in_last_12_months,with_a_resident_and_family_council,automatic_sprinkler_systems_in_all_required_areas,overall_rating,overall_rating_footnote,health_inspection_rating,health_inspection_rating_footnote,qm_rating,qm_rating_footnote,longstay_qm_rating,longstay_qm_rating_footnote,shortstay_qm_rating,shortstay_qm_rating_footnote,staffing_rating,staffing_rating_footnote,rn_staffing_rating,rn_staffing_rating_footnote,reported_staffing_footnote,physical_therapist_staffing_footnote,reported_nurse_aide_staffing_hours_per_resident_per_day,reported_lpn_staffing_hours_per_resident_per_day,reported_rn_staffing_hours_per_resident_per_day,reported_licensed_staffing_hours_per_resident_per_day,reported_total_nurse_staffing_hours_per_resident_per_day,reported_physical_therapist_staffing_hours_per_resident_per_day,casemix_nurse_aide_staffing_hours_per_resident_per_day,casemix_lpn_staffing_hours_per_resident_per_day,casemix_rn_staffing_hours_per_resident_per_day,casemix_total_nurse_staffing_hours_per_resident_per_day,adjusted_nurse_aide_staffing_hours_per_resident_per_day,adjusted_lpn_staffing_hours_per_resident_per_day,adjusted_rn_staffing_hours_per_resident_per_day,adjusted_total_nurse_staffing_hours_per_resident_per_day,rating_cycle_1_standard_survey_health_date,rating_cycle_1_total_number_of_health_deficiencies,rating_cycle_1_number_of_standard_health_deficiencies,rating_cycle_1_number_of_complaint_health_deficiencies,rating_cycle_1_health_deficiency_score,rating_cycle_1_number_of_health_revisits,rating_cycle_1_health_revisit_score,rating_cycle_1_total_health_score,rating_cycle_2_standard_health_survey_date,rating_cycle_2_total_number_of_health_deficiencies,rating_cycle_2_number_of_standard_health_deficiencies,rating_cycle_2_number_of_complaint_health_deficiencies,rating_cycle_2_health_deficiency_score,rating_cycle_2_number_of_health_revisits,rating_cycle_2_health_revisit_score,rating_cycle_2_total_health_score,rating_cycle_3_standard_health_survey_date,rating_cycle_3_total_number_of_health_deficiencies,rating_cycle_3_number_of_standard_health_deficiencies,rating_cycle_3_number_of_complaint_health_deficiencies,rating_cycle_3_health_deficiency_score,rating_cycle_3_number_of_health_revisits,rating_cycle_3_health_revisit_score,rating_cycle_3_total_health_score,total_weighted_health_survey_score,number_of_facility_reported_incidents,number_of_substantiated_complaints,number_of_citations_from_infection_control_inspections,number_of_fines,total_amount_of_fines_in_dollars,number_of_payment_denials,total_number_of_penalties,location,processing_date,County,County_Code,FIPS,nurse_aide_hours_per_week,lpn_hours_per_week,rn_hours_per_week,physical_therapist_hours_per_week,total_staff_hours_per_week
46131,345152,TRINITY VILLAGE,1265 21 STREET NE,HICKORY,NC,28601,8283282006,170,Catawba,Non profit - Corporation,82,84.7,,Medicare and Medicaid,N,"LUTHERAN HOME-HICKORY, INC.",1976-07-01,N,,N,Y,N,Both,Yes,4,,4,,2,,3,,2,,4,,4,,,,3.94193,0.79571,0.98991,1.78562,5.72755,0.02461,2.30995,0.81181,0.40758,3.52934,3.50934,0.72658,0.92677,5.15953,2019-08-01,4,4,2,16,1,0,16,2018-06-14,4,4,0,16,1,0,16,2017-07-20,1,1,0,16,1,0,16,16.000,0,1,0,0,0,0,0,"1265 21 STREET NE,HICKORY,NC,28601",2021-10-01,Catawba,35,37035,2337,472,587,15,3411
46136,345153,TRINITY OAKS,820 KLUMAC ROAD,SALISBURY,NC,28144,7046373784,790,Rowan,Non profit - Church related,115,98.3,,Medicare and Medicaid,N,"LUTHERAN HOME AT TRINITY OAKS, INC.",1976-04-01,Y,,N,Y,N,Resident,Yes,3,,3,,3,,4,,3,,2,,3,,,,1.70422,0.2552,0.65503,0.91023,2.61445,0.03056,2.15775,0.77112,0.38684,3.31572,1.62422,0.24532,0.64613,2.50691,2019-08-01,4,4,0,12,1,0,12,2018-08-30,9,9,0,40,1,0,40,2017-10-19,2,1,1,8,1,0,8,20.667,0,1,0,1,650,0,1,"820 KLUMAC ROAD,SALISBURY,NC,28144",2021-10-01,Rowan,159,37159,1173,176,451,21,1821
46141,345155,ALPINE HEALTH AND REHABILITATION OF ASHEBORO,230 EAST PRESNELL STREET,ASHEBORO,NC,27203,3366291447,750,Randolph,For profit - Individual,238,114.9,,Medicare and Medicaid,N,ALPINE HEALTH AND REHABILITATION OF ASHEBORO,1976-05-21,N,,N,N,N,Resident,Yes,2,,2,,2,,1,,3,,2,,2,,,,1.87277,1.01082,0.43714,1.44797,3.32074,0.03984,2.05440,0.83789,0.47030,3.36259,1.87465,0.89428,0.35468,3.13976,2021-04-22,10,10,3,48,1,0,48,2019-04-05,6,4,2,32,1,0,32,2018-02-01,18,18,0,108,1,0,108,52.667,0,7,0,2,135748,0,2,"230 EAST PRESNELL STREET,ASHEBORO,NC,27203",2021-10-01,Randolph,151,37151,1506,813,352,32,2703
46146,345156,HARMONY HALL NURSING AND REHABILITATION CENTER,312 WARREN AVENUE,KINSTON,NC,28502,2525230082,530,Lenoir,For profit - Corporation,175,100.6,,Medicare and Medicaid,N,"REDWOOD LTC GROUP, LLC",1976-05-12,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,2,,2,,3,,,,1.82808,0.66079,0.495,1.15579,2.98387,0.0507,2.06573,0.70976,0.32510,3.10059,1.81988,0.69014,0.58101,3.05965,2020-01-10,1,1,0,4,1,0,4,2019-02-01,3,3,0,12,1,0,12,2018-02-02,3,3,0,12,1,0,12,8.000,0,0,0,0,0,0,0,"312 WARREN AVENUE,KINSTON,NC,28502",2021-10-01,Lenoir,107,37107,1287,465,349,36,2137
46151,345159,LINCOLNTON REHABILITATION CENTER,1410 EAST GASTON STREET,LINCOLNTON,NC,28092,7047321138,540,Lincoln,For profit - Limited Liability company,120,81.1,,Medicare and Medicaid,N,LINCOLNTON REHABILITATION CENTER LLC,1976-10-11,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,3,,2,,2,,,,1.9896,1.00146,0.57904,1.58050,3.57010,0.20906,2.15745,0.89778,0.52620,3.58143,1.89646,0.82689,0.41991,3.16927,2021-03-11,3,3,0,12,1,0,12,2019-04-11,5,3,2,24,1,0,24,2018-03-22,9,4,5,32,1,0,32,19.333,0,15,0,0,0,0,0,"1410 EAST GASTON STREET,LINCOLNTON,NC,28092",2021-10-01,Lincoln,109,37109,1129,569,329,119,2146
46156,345160,DAVIS HEALTH CARE CENTER,1011 PORTERS NECK ROAD,WILMINGTON,NC,28411,9106867195,640,New Hanover,For profit - Corporation,104,95.7,,Medicare and Medicaid,N,"CORNELIA NIXON DAVIS, INC.",1976-04-01,N,,Y,N,N,Resident,Yes,3,,2,,5,,4,,5,,3,,2,,,,2.96131,1.09762,0.4499,1.54752,4.50884,0.13483,2.00761,0.69728,0.34796,3.05285,3.03337,1.16689,0.49337,4.69563,2021-06-21,6,1,5,99,1,0,99,2019-09-26,8,8,1,32,1,0,32,2018-08-23,0,0,0,0,0,0,0,60.167,0,2,4,1,13507,0,1,"1011 PORTERS NECK ROAD,WILMINGTON,NC,28411",2021-10-01,New Hanover,129,37129,1984,735,301,90,3110
46161,345161,ABERNETHY LAURELS,102 LEONARD AVENUE,NEWTON,NC,28658,8284648260,170,Catawba,Non profit - Corporation,174,137.7,,Medicare and Medicaid,N,UNITED CHURCH HOMES AND SERVICES,1977-01-17,Y,,N,N,N,Resident,Yes,5,,4,,5,,4,,5,,4,,4,,,,2.71774,0.60774,0.83078,1.43852,4.15626,0.09005,2.19715,0.71776,0.32648,3.24140,2.54371,0.62765,0.97100,4.07667,2019-12-19,3,3,0,16,1,0,16,2018-12-20,0,0,0,0,0,0,0,2018-01-26,5,5,0,20,1,0,20,11.333,0,0,0,0,0,0,0,"102 LEONARD AVENUE,NEWTON,NC,28658",2021-10-01,Catawba,35,37035,2620,586,801,87,4094
46166,345162,ACCORDIUS HEALTH AT GASTONIA,416 N HIGHLAND STREET,GASTONIA,NC,28052,7048640371,350,Gaston,For profit - Corporation,118,61.9,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT GASTONIA LLC,1976-11-01,N,,N,N,N,Resident,Yes,3,,3,,3,,3,,4,,2,,2,,,,1.94441,0.78698,0.45199,1.23897,3.18338,0.07505,2.05900,0.78665,0.41727,3.26292,1.94200,0.74160,0.41334,3.10182,2019-11-15,4,4,0,16,1,0,16,2018-12-07,9,9,0,48,1,0,48,2017-12-15,7,6,1,32,1,0,32,29.333,0,1,0,1,3250,0,1,"416 N HIGHLAND STREET,GASTONIA,NC,28052",2021-10-01,Gaston,71,37071,843,341,196,33,1413
46171,345163,GLENBRIDGE HEALTH AND REHABILTATION CENTER,211 MILTON BROWN HEIRS ROAD,BOONE,NC,28607,8282646720,940,Watauga,For profit - Limited Liability company,134,61.1,,Medicare and Medicaid,N,GLENBRIDGE HEALTH AND REHABILITATION CENTER LLC,1977-05-04,N,,N,N,N,Resident,Yes,1,,1,,4,,3,,4,,3,,3,,,,2.67984,1.19629,0.66482,1.86111,4.54095,0.07266,2.13247,0.83097,0.40128,3.36472,2.58431,1.06718,0.63219,4.29074,2020-01-24,7,3,4,132,1,0,132,2019-03-07,7,7,0,32,1,0,32,2018-02-24,6,5,1,24,1,0,24,80.667,0,2,4,2,106382,1,3,"211 MILTON BROWN HEIRS ROAD,BOONE,NC,28607",2021-10-01,Watauga,189,37189,1146,512,284,31,1973
46176,345164,CHOWAN RIVER NURSING AND REHABILITATION CENTER,1341 PARADISE ROAD,EDENTON,NC,27932,2524827481,200,Chowan,Non profit - Other,130,76.9,,Medicare and Medicaid,N,"TAR RIVER LTC GROUP, LLC",1977-05-01,N,,N,N,N,Resident,Yes,3,,2,,5,,4,,5,,2,,2,,,,1.78508,0.65787,0.44163,1.09950,2.88458,0.0499,1.97995,0.74142,0.37554,3.09691,1.85406,0.65776,0.44874,2.96135,2021-04-30,12,11,5,108,1,0,108,2019-11-07,3,3,0,16,1,0,16,2018-10-25,6,4,3,24,1,0,24,63.333,0,13,1,1,17692,0,1,"1341 PARADISE ROAD,EDENTON,NC,27932",2021-10-01,Chowan,41,37041,961,354,238,27,1580
46181,345165,AUTUMN CARE OF MARION,1264 AIRPORT ROAD,MARION,NC,28752,8286526701,550,McDowell,For profit - Corporation,110,89.2,,Medicare and Medicaid,N,AUTUMN CORPORATION,1980-08-01,N,,N,N,N,Resident,Yes,2,,1,,5,,4,,5,,3,,3,,,,1.92404,0.74473,0.5808,1.32553,3.24957,0.05596,2.12230,0.73576,0.37573,3.23379,1.86435,0.75032,0.58986,3.19484,2019-10-25,0,0,0,0,0,0,0,2018-11-01,1,1,0,8,1,0,8,2017-11-19,24,24,0,463,1,0,463,79.833,0,0,0,0,0,0,0,"1264 AIRPORT ROAD,MARION,NC,28752",2021-10-01,McDowell,111,37111,1201,465,363,35,2064
46186,345166,STOKES COUNTY NURSING HOME,1570 NC 8 AND 89 HIGHWAY,DANBURY,NC,27016,3365932831,840,Stokes,For profit - Corporation,40,36.7,,Medicare and Medicaid,N,LIFEBRITE HOSPITAL GROUP OF STOKES LLC,1977-06-13,N,,N,N,N,Resident,Yes,4,,3,,2,,2,,,2,4,,5,,,,1.49489,0.99163,0.92711,1.91874,3.41363,0.00562,2.04788,0.60128,0.23538,2.88455,1.50115,1.22251,1.50299,3.76248,2021-07-09,3,3,0,12,1,0,12,2019-07-12,8,6,2,48,1,0,48,2018-07-11,3,3,0,12,1,0,12,24.000,1,0,0,1,8294,0,1,"1570 NC 8 AND 89 HIGHWAY,DANBURY,NC,27016",2021-10-01,Stokes,169,37169,384,255,238,1,878
46191,345167,YADKIN NURSING CARE CENTER,903 W MAIN STREET,YADKINVILLE,NC,27055,3366798863,980,Yadkin,For profit - Corporation,147,90.6,,Medicare and Medicaid,N,"LIBERTY HEALTHCARE GROUP, LLC",1977-07-01,N,,N,N,N,Resident,Yes,2,,2,,3,,3,,3,,2,,2,,,,2.72783,0.72714,0.47647,1.20361,3.93144,0.0,2.09148,0.77177,0.40493,3.26818,2.68215,0.69842,0.44901,3.82456,2019-11-21,12,6,6,56,1,0,56,2018-12-06,7,4,2,24,1,0,24,2017-11-16,5,5,0,16,1,0,16,38.667,0,9,6,1,3250,0,1,"903 W MAIN STREET,YADKINVILLE,NC,27055",2021-10-01,Yadkin,197,37197,1730,461,302,0,2493
46196,345168,MACGREGOR DOWNS HEALTH AND REHABILITATION,2910 MACGREGOR DOWNS ROAD,GREENVILLE,NC,27834,2527584121,730,Pitt,For profit - Corporation,152,115.1,,Medicare and Medicaid,N,GREENVILLE OPERATING COMPANY LLC,1980-11-01,N,,N,N,N,Both,Yes,3,,2,,5,,5,,5,,3,,4,,,,2.07817,0.57435,0.93558,1.50993,3.58809,0.11347,2.28161,0.85855,0.43887,3.57903,1.87309,0.49590,0.81346,3.18737,2021-05-14,13,9,5,64,1,0,64,2019-10-31,4,4,0,16,1,0,16,2018-11-02,5,5,0,24,1,0,24,41.333,0,5,1,1,14510,0,1,"2910 MACGREGOR DOWNS ROAD,GREENVILLE,NC,27834",2021-10-01,Pitt,147,37147,1674,463,754,91,2982
46201,345169,BRIAN CENTER HEALTH & REHAB/GASTONIA,969 COX ROAD,GASTONIA,NC,28054,7048668596,350,Gaston,For profit - Corporation,162,117.0,,Medicare and Medicaid,N,SSC GASTONIA OPERATING COMPANY LLC,1977-09-01,N,,N,N,N,Resident,Yes,4,,4,,3,,4,,3,,2,,2,,,,1.68557,0.85648,0.51613,1.37261,3.05818,0.08992,1.93854,0.77961,0.40220,3.12035,1.78810,0.81438,0.48968,3.11599,2021-04-15,3,3,3,16,1,0,16,2019-05-09,3,3,2,12,1,0,12,2018-05-11,1,1,0,4,1,0,4,12.667,0,4,0,0,0,0,0,"969 COX ROAD,GASTONIA,NC,28054",2021-10-01,Gaston,71,37071,1380,701,423,74,2578
46206,345170,CRYSTAL BLUFFS REHABILITATION AND HEALTH CARE CENT,4010 BRIDGES STREET EXTENSION,MOREHEAD CITY,NC,28557,2527260031,150,Carteret,For profit - Corporation,92,80.8,,Medicare and Medicaid,N,"CENTURY CARE OF THE CRYSTAL COAST, INC",1977-08-15,N,,N,Y,N,Both,Yes,5,,5,,5,,4,,5,,2,,2,,,,2.18806,1.22851,0.48525,1.71376,3.90181,0.06411,2.27131,0.77099,0.36628,3.40858,1.98108,1.18118,0.50552,3.63939,2019-08-23,1,1,0,4,1,0,4,2018-07-13,0,0,0,0,0,0,0,2017-06-21,0,0,0,0,0,0,0,2.000,1,1,0,0,0,0,0,"4010 BRIDGES STREET EXTENSION,MOREHEAD CITY,NC,28557",2021-10-01,Carteret,31,37031,1238,695,274,36,2243
46211,345171,WHITE OAK MANOR - SHELBY,401 N MORGAN STREET,SHELBY,NC,28150,7044827326,220,Cleveland,For profit - Corporation,160,86.6,,Medicare and Medicaid,N,WHITE OAK MANOR SHELBY INC,1977-10-26,N,,N,N,N,Resident,Yes,2,,2,,3,,3,,3,,2,,2,,,,1.76162,1.16837,0.43624,1.60461,3.36622,0.07487,2.16645,0.77478,0.39800,3.33923,1.67218,1.11786,0.41825,3.20503,2021-07-02,11,11,5,123,1,0,123,2019-08-29,3,3,1,28,1,0,28,2018-08-02,3,3,0,16,1,0,16,73.500,1,6,0,2,110338,1,3,"401 N MORGAN STREET,SHELBY,NC,28150",2021-10-01,Cleveland,45,37045,1068,708,264,45,2085
46216,345172,MERIDIAN CENTER,707 NORTH ELM STREET,HIGH POINT,NC,27262,3368850141,400,Guilford,For profit - Corporation,199,164.9,,Medicare and Medicaid,N,"SUNBRIDGE REGENCY - NORTH CAROLINA, LLC",1977-11-14,N,,Y,N,N,Resident,Yes,1,,1,,1,,1,,1,,2,,2,,,,1.80283,0.98986,0.35849,1.34835,3.15117,0.03573,1.88546,0.74830,0.40455,3.03830,1.96633,0.98058,0.33814,3.29744,2021-07-19,12,8,11,122,1,0,122,2019-10-04,12,8,8,72,1,0,72,2018-08-02,6,5,1,119,1,0,119,104.833,5,42,1,2,322335,2,4,"707 NORTH ELM STREET,HIGH POINT,NC,27262",2021-10-01,Guilford,81,37081,2081,1143,414,41,3679
46221,345173,EMERALD HEALTH & REHAB CENTER,54 RED MULBERRY WAY,LILLINGTON,NC,27546,9108148030,420,Harnett,For profit - Corporation,96,65.0,,Medicare and Medicaid,N,"HARNETT HEALTHCARE GROUP, LLC",1978-01-01,N,,N,Y,N,None,Yes,3,,3,,2,,1,,3,,2,,2,,,,1.89548,1.35641,0.34673,1.70314,3.59862,0.14321,2.07108,0.73345,0.36011,3.16464,1.88210,1.37091,0.36741,3.61533,2019-04-18,1,0,1,20,0,0,20,2018-03-08,3,2,0,24,1,0,24,2017-02-16,3,3,0,12,1,0,12,20.000,0,1,1,1,7345,0,1,"54 RED MULBERRY WAY,LILLINGTON,NC,27546",2021-10-01,Harnett,85,37085,862,617,158,65,1702
46226,345174,CAROLINA PINES AT ASHEVILLE,91 VICTORIA ROAD,ASHEVILLE,NC,28801,8282550076,100,Buncombe,For profit - Corporation,120,75.4,,Medicare and Medicaid,N,CAROLINA PINES AT ASHEVILLE LLC,1979-02-01,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,3,,2,,2,,,,2.17094,0.66269,0.40976,1.07244,3.24339,0.05498,2.07698,0.81724,0.42768,3.32190,2.14950,0.60109,0.36559,3.10419,2019-12-05,2,2,0,8,1,0,8,2018-11-02,11,11,0,44,1,0,44,2017-10-05,5,4,1,24,1,0,24,22.667,0,1,0,0,0,0,0,"91 VICTORIA ROAD,ASHEVILLE,NC,28801",2021-10-01,Buncombe,21,37021,1146,350,216,29,1741
46231,345175,SMITHFIELD MANOR NURSING AND REHAB,902 BERKSHIRE ROAD,SMITHFIELD,NC,27577,9199343171,500,Johnston,For profit - Corporation,138,110.7,,Medicare and Medicaid,N,"SMITHFIELD MANOR, INC.",1977-12-01,N,,N,N,N,Both,Yes,2,,2,,3,,2,,4,,3,,3,,,,2.50674,0.77956,0.62602,1.40557,3.91232,0.07585,2.10344,0.80292,0.41493,3.32128,2.45075,0.71972,0.57572,3.74510,2019-10-11,2,2,0,8,1,0,8,2018-10-25,1,1,0,8,1,0,8,2017-10-06,5,4,1,224,1,0,224,44.000,1,1,0,1,8294,0,1,"902 BERKSHIRE ROAD,SMITHFIELD,NC,27577",2021-10-01,Johnston,101,37101,1942,604,485,59,3090
46236,345177,THE GREENS AT PINEHURST REHAB & LIVING CENTER,205 RATTLESNAKE TRAIL,PINEHURST,NC,28374,9102951781,620,Moore,For profit - Corporation,120,81.5,,Medicare and Medicaid,N,"PINEHURST OPCO, LLC",1977-10-01,N,SFF Candidate,N,N,N,Resident,Yes,2,,1,,5,,4,,5,,2,,3,,,,1.67323,0.83526,0.78487,1.62014,3.29337,0.06132,2.15727,0.83419,0.45766,3.44912,1.59504,0.74224,0.65441,3.03576,2021-03-11,14,12,6,226,1,0,226,2019-03-21,23,15,9,112,1,0,112,2018-01-22,16,6,10,112,1,0,112,169.000,0,20,1,4,96736,1,5,"205 RATTLESNAKE TRAIL,PINEHURST,NC,28374",2021-10-01,Moore,125,37125,955,477,448,35,1915
46241,345179,ACCORDIUS HEALTH AT MOORESVILLE,752 E CENTER AVENUE,MOORESVILLE,NC,28115,7048000570,480,Iredell,For profit - Limited Liability company,131,59.1,,Medicare and Medicaid,N,ACCORDIUS HEALTH AT MOORESVILLE LLC,1978-05-01,N,,N,N,N,Both,Yes,1,,1,,3,,3,,3,,2,,2,,,,1.79437,0.91201,0.4092,1.32121,3.11558,0.03118,2.19240,0.80606,0.42053,3.41899,1.68310,0.83873,0.37131,2.89719,2021-06-25,33,26,15,196,1,0,196,2019-05-23,3,2,1,16,1,0,16,2018-06-08,6,4,2,36,1,0,36,109.333,0,18,7,1,16250,1,2,"752 E CENTER AVENUE,MOORESVILLE,NC,28115",2021-10-01,Iredell,97,37097,742,377,169,13,1301
46246,345180,WESLEY PINES RETIREMENT COMM,1000 WESLEY PINES ROAD,LUMBERTON,NC,28358,9107389691,770,Robeson,Non profit - Church related,62,50.5,,Medicare and Medicaid,N,"THE UNITED METHODIST RETIREMENT HOMES, INCORPORATED",1980-12-01,Y,,N,Y,N,Both,Yes,3,,3,,3,,3,,4,,3,,2,,,,3.04544,0.96963,0.47672,1.44635,4.49179,0.08637,2.01804,0.75183,0.36410,3.13396,3.10342,0.95603,0.49962,4.55681,2019-09-19,5,5,1,28,1,0,28,2018-08-23,2,2,0,36,1,0,36,2017-09-21,1,1,0,8,1,0,8,27.333,0,1,0,1,8518,0,1,"1000 WESLEY PINES ROAD,LUMBERTON,NC,28358",2021-10-01,Robeson,155,37155,1077,343,169,31,1620
46251,345181,UNIVERSAL HEALTH CARE / GREENVILLE,2578 WEST FIFTH STREET,GREENVILLE,NC,27834,2527587100,730,Pitt,For profit - Corporation,120,104.0,,Medicare and Medicaid,N,"UNIVERSAL HEALTH CARE GREENVILLE, INC",1978-07-26,N,,N,N,N,Resident,Yes,2,,2,,4,,4,,3,,2,,2,,,,1.87495,0.7431,0.43804,1.18115,3.05609,0.05669,2.14341,0.83499,0.45927,3.43767,1.79889,0.65971,0.36395,2.82643,2021-06-25,15,15,6,64,1,0,64,2019-07-01,8,8,0,32,1,0,32,2018-05-10,3,3,0,12,1,0,12,44.667,1,7,0,0,0,0,0,"2578 WEST FIFTH STREET,GREENVILLE,NC,27834",2021-10-01,Pitt,147,37147,1365,541,319,41,2266
46256,345182,PRUITTHEALTH-SEALEVEL,468 HIGHWAY 70 EAST,SEALEVEL,NC,28577,2522250112,150,Carteret,For profit - Corporation,104,58.9,,Medicare and Medicaid,N,"PRUITTHEALTH-SEA LEVEL ,LLC",1978-04-01,N,,N,N,N,Resident,Yes,5,,5,,2,,1,,4,,2,,3,,,,1.50935,0.56976,0.62967,1.19943,2.70878,0.07883,2.00397,0.71829,0.35515,3.07742,1.54888,0.58799,0.67653,2.79848,2020-01-17,2,1,0,8,1,0,8,2019-03-03,1,1,0,4,1,0,4,2018-01-11,1,1,0,4,1,0,4,6.000,1,0,1,0,0,0,0,"468 HIGHWAY 70 EAST,SEALEVEL,NC,28577",2021-10-01,Carteret,31,37031,622,235,260,33,1150
46261,345183,UNIVERSAL HEALTH CARE & REHAB,430 BROOKWOOD AVENUE NE,CONCORD,NC,28025,7047884115,120,Cabarrus,For profit - Corporation,120,90.5,,Medicare and Medicaid,N,"UNIVERSAL HEALTH CARE CONCORD, INC",1979-05-01,N,,N,N,N,Resident,Yes,1,,1,,3,,2,,4,,1,,1,,,,1.593,0.5883,0.31327,0.90157,2.49457,0.03942,2.06678,0.81952,0.48417,3.37048,1.58505,0.53213,0.24689,2.35309,2021-07-15,13,11,12,164,1,0,164,2019-05-23,19,19,5,80,2,40,120,2018-04-07,17,10,7,175,1,0,175,151.167,0,26,1,5,124691,0,5,"430 BROOKWOOD AVENUE NE,CONCORD,NC,28025",2021-10-01,Cabarrus,25,37025,1009,373,198,25,1605
46266,345184,CITADEL ELIZABETH CITY LLC,901 SOUTH HALSTEAD BOULEVARD,ELIZABETH CITY,NC,27909,2523380137,690,Pasquotank,For profit - Corporation,108,58.0,,Medicare and Medicaid,N,CITADEL ELIZABETH CITY LLC,1978-08-01,N,,N,Y,N,Resident,Yes,2,,1,,5,,4,,5,,2,,2,,,,1.70601,0.47308,0.39412,0.86720,2.57321,0.08495,1.95280,0.73350,0.33328,3.01958,1.79657,0.47810,0.45124,2.70934,2019-08-01,15,9,7,80,1,0,80,2018-08-03,26,17,9,120,2,60,180,2017-08-02,5,3,2,20,1,0,20,103.333,0,24,2,2,55401,1,3,"901 SOUTH HALSTEAD BOULEVARD,ELIZABETH CITY,NC,27909",2021-10-01,Pasquotank,139,37139,693,192,160,34,1079
46271,345185,PREMIER LIVING AND REHAB CENTER,106 CAMERON STREET,LAKE WACCAMAW,NC,28450,9106463132,230,Columbus,For profit - Limited Liability company,127,65.1,,Medicare and Medicaid,N,PREMIER LIVING AND REHAB CENTER,1978-09-29,N,,N,N,N,Resident,Yes,2,,2,,2,,2,,3,,2,,2,,,,1.83685,1.06118,0.43109,1.49227,3.32912,0.07574,1.85211,0.80084,0.42667,3.07962,2.03951,0.98226,0.38554,3.43690,2020-01-16,3,2,1,16,1,0,16,2019-01-19,10,9,1,107,1,0,107,2018-01-12,8,8,0,44,1,0,44,51.000,0,1,1,3,24350,0,3,"106 CAMERON STREET,LAKE WACCAMAW,NC,28450",2021-10-01,Columbus,47,37047,837,484,196,35,1552
46276,345186,FIVE OAKS MANOR,413 WINECOFF SCHOOL ROAD,CONCORD,NC,28027,7047882131,120,Cabarrus,For profit - Partnership,160,113.7,,Medicare and Medicaid,N,FIVE OAKS MANOR LLC,1978-12-01,N,,N,N,N,Resident,Yes,3,,2,,5,,5,,5,,2,,2,,,,2.40988,0.94386,0.43127,1.37513,3.78502,0.12632,2.04888,0.80651,0.43679,3.29219,2.41879,0.86753,0.37676,3.65527,2019-11-15,10,10,0,48,1,0,48,2018-10-11,12,11,3,102,1,0,102,2017-09-21,3,1,2,16,1,0,16,60.667,0,3,1,3,15530,0,3,"413 WINECOFF SCHOOL ROAD,CONCORD,NC,28027",2021-10-01,Cabarrus,25,37025,1918,751,343,101,3113
46281,345187,GRACE HEIGHTS HEALTH & REHABILITATION,109 FOOTHILLS DRIVE,MORGANTON,NC,28655,8285807000,110,Burke,For profit - Corporation,120,99.2,,Medicare and Medicaid,N,GRACE HEIGHTS REHABILITATION AND SKILLED NURSING CENTER LLC,1980-06-01,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,5,,2,,2,,,,1.88675,0.6333,0.60027,1.23357,3.12033,0.06312,2.29268,0.92063,0.51396,3.72727,1.69236,0.50993,0.44567,2.66161,2019-11-21,2,2,1,8,1,0,8,2018-10-04,2,1,1,8,1,0,8,2017-10-19,3,3,0,12,1,0,12,8.667,1,0,0,0,0,0,0,"109 FOOTHILLS DRIVE,MORGANTON,NC,28655",2021-10-01,Burke,23,37023,1310,440,417,44,2211
46286,345190,MURPHY REHABILITATION & NURSING,230 NC HWY 141,MURPHY,NC,28906,8288357580,190,Cherokee,For profit - Corporation,134,94.3,,Medicare and Medicaid,N,MURPHY REHABILITATION INC,1979-01-15,N,,N,N,N,Resident,Yes,4,,4,,3,,2,,5,,3,,3,,,,2.0834,0.53329,0.6745,1.20779,3.29119,0.10005,2.03855,0.81336,0.44164,3.29356,2.10170,0.48603,0.58278,3.17704,2019-12-19,0,0,0,0,0,0,0,2018-11-16,4,3,0,16,1,0,16,2018-02-16,4,4,0,12,1,0,12,7.333,0,0,1,1,650,0,1,"230 NC HWY 141,MURPHY,NC,28906",2021-10-01,Cherokee,39,37039,1375,352,445,66,2238
46291,345191,SURRY COMMUNITY HEALTH AND REHAB CENTER,542 ALLRED MILL ROAD,MOUNT AIRY,NC,27030,3367895076,850,Surry,For profit - Individual,120,86.0,,Medicare and Medicaid,N,MT AIRY OPERATING COMPANY LLC,1981-05-01,N,,N,N,N,Resident,Yes,2,,2,,3,,3,,4,,2,,3,,,,1.78979,0.63206,0.73116,1.36322,3.15301,0.1662,2.13960,0.85205,0.45824,3.44989,1.72024,0.54989,0.60885,2.90573,2021-04-29,13,11,8,76,1,0,76,2019-10-31,5,1,4,24,1,0,24,2018-11-09,9,9,2,40,1,0,40,52.667,0,17,1,3,32579,0,3,"542 ALLRED MILL ROAD,MOUNT AIRY,NC,27030",2021-10-01,Surry,171,37171,1077,381,440,100,1998
